,name_in_url,he_count,she_count,name_in_profile
0,benjamin_barber,3,0,Benjamin Barber
1,jer_thorp,2,0,Jer Thorp
2,chris_bliss,1,0,Chris Bliss
3,catherine_bracy,0,5,Catherine Bracy
4,a_balasubramaniam,0,0,Alwar Balasubramaniam
5,auret_van_heerden,4,0,Auret van Heerden
6,jack_andraka,4,4,Jack Andraka
7,shabana_basij_rasikh,0,5,Shabana Basij-Rasikh
8,curtis_wong,5,0,Curtis Wong
9,tara_winkler,0,0,Tara Winkler
10,michael_archer,1,0,Michael Archer
11,krista_tippett,0,7,Krista Tippett
12,casey_brown,0,6,Casey Brown
13,linus_torvalds,1,0,Linus Torvalds
14,qi_zhang,0,2,Qi Zhang
15,lisa_bu,0,5,Lisa Bu
16,sakena_yacoobi,0,1,Sakena Yacoobi
17,dave_troy,4,0,Dave Troy
18,chris_anderson_ted,6,0,Chris Anderson
19,sheryl_wudunn,0,3,Sheryl WuDunn
20,david_camarillo,1,0,David Camarillo
21,james_burchfield,4,0,James Burchfield
22,thomas_barnett,6,0,Thomas Barnett
23,geert_chatrou,8,0,Geert Chatrou
24,stephen_wolfram,2,0,Stephen Wolfram
25,naif_al_mutawa,0,0,Naif Al-Mutawa
26,matthew_white,2,0,Matthew White
27,sanford_biggers,5,0,Sanford Biggers
28,maysoon_zayid,0,8,Maysoon Zayid
29,nadia_al_sakkaf,0,5,Nadia Al-Sakkaf
30,melati_and_isabel_wijsen,0,0,Melati and Isabel Wijsen
31,jan_chipchase,8,0,Jan Chipchase
32,xavier_vilalta,3,0,Xavier Vilalta
33,steve_truglia,6,0,Steve Truglia
34,beardyman,9,0,Beardyman
35,morgana_bailey,0,5,Morgana Bailey
36,benedetta_berti,0,4,Benedetta Berti
37,shigeru_ban,7,0,Shigeru Ban
38,sherry_turkle,2,3,Sherry Turkle
39,nikki_webber_allen,0,3,Nikki Webber Allen
40,peter_weinstock,3,0,Peter Weinstock
41,aziz_abu_sarah,3,0,Aziz Abu Sarah
42,rodney_brooks,1,0,Rodney Brooks
43,paul_root_wolpe,6,0,Paul Root Wolpe
44,paul_collier,4,0,Paul Collier
45,anthony_appiah,4,0,Kwame Anthony Appiah
46,jen_brea,0,8,Jennifer Brea
47,larry_brilliant,14,0,Larry Brilliant
48,dan_cobley,5,0,Dan Cobley
49,aziza_chaouni,0,5,Aziza Chaouni
50,romulus_whitaker,3,0,Romulus Whitaker
